"Status","Name","Duration in ms","Description"
"passed","Video.instance","2",""
"passed","Steps..removeVideo()","6",""
"passed","e2e tests.Record video of display","7777",""
"passed","Steps.._videoLocation()","6",""
"passed","e2e tests.Record video of browser","13205",""
"passed","Steps.._makeVideoPath()","6",""
"passed","Video..configure()","4",""
"passed","Steps..stopVideo()","7",""
"passed","help.plugin help contains option","2",""
"passed","Video..start()","2",""
"passed","config.contains","6",""
"passed","import.Plugin lazy import","2",""
"passed","Steps..startVideo()","11",""
"passed","Steps..getVideo()","10",""
"passed","Video..stop()","3",""
